('Episode: 213', 'Reward: 3360.0', 'Loss: 46.8988189697', 'Explore P: 0.1000')
('Episode: 214', 'Reward: 3920.0', 'Loss: 23.7938976288', 'Explore P: 0.1000')
('Episode: 215', 'Reward: 2350.0', 'Loss: 42.5754852295', 'Explore P: 0.1000')
('Episode: 216', 'Reward: 360.0', 'Loss: 39.2237167358', 'Explore P: 0.1000')
('Episode: 217', 'Reward: 2450.0', 'Loss: 48.0852088928', 'Explore P: 0.1000')
('Episode: 218', 'Reward: 2410.0', 'Loss: 33.7587814331', 'Explore P: 0.1000')
('Episode: 219', 'Reward: 2120.0', 'Loss: 73.7583770752', 'Explore P: 0.1000')
('Episode: 220', 'Reward: 2290.0', 'Loss: 42.6122055054', 'Explore P: 0.1000')
('Episode: 221', 'Reward: 3530.0', 'Loss: 75.8081283569', 'Explore P: 0.1000')
('Episode: 222', 'Reward: 3380.0', 'Loss: 35.8432312012', 'Explore P: 0.1000')
('Episode: 223', 'Reward: 700.0', 'Loss: 57.9732170105', 'Explore P: 0.1000')
('Episode: 224', 'Reward: 1740.0', 'Loss: 29.9894447327', 'Explore P: 0.1000')
('Episode: 225', 'Reward: 2430.0', 'Loss: 17.9460697174', 'Explore P: 0.1000')
('Episode: 226', 'Reward: 540.0', 'Loss: 30.5445079803', 'Explore P: 0.1000')
('Episode: 227', 'Reward: 660.0', 'Loss: 90.9727478027', 'Explore P: 0.1000')
('Episode: 228', 'Reward: 660.0', 'Loss: 44.456237793', 'Explore P: 0.1000')
('Episode: 229', 'Reward: 560.0', 'Loss: 33.1034393311', 'Explore P: 0.1000')
('Episode: 230', 'Reward: 3110.0', 'Loss: 71.577545166', 'Explore P: 0.1000')
('Episode: 231', 'Reward: 2010.0', 'Loss: 34.2475662231', 'Explore P: 0.1000')
('Episode: 232', 'Reward: 720.0', 'Loss: 25.5795269012', 'Explore P: 0.1000')
('Episode: 233', 'Reward: 2740.0', 'Loss: 35.6006088257', 'Explore P: 0.1000')
('Episode: 234', 'Reward: 320.0', 'Loss: 77.0854721069', 'Explore P: 0.1000')
('Episode: 235', 'Reward: 2110.0', 'Loss: 53.48802948', 'Explore P: 0.1000')
('Episode: 236', 'Reward: 420.0', 'Loss: 37.5152740479', 'Explore P: 0.1000')
('Episode: 237', 'Reward: 2200.0', 'Loss: 24.9867553711', 'Explore P: 0.1000')
('Episode: 238', 'Reward: 760.0', 'Loss: 91.5356140137', 'Explore P: 0.1000')
('Episode: 239', 'Reward: 400.0', 'Loss: 61.8059844971', 'Explore P: 0.1000')
('Episode: 240', 'Reward: 2350.0', 'Loss: 27.0487270355', 'Explore P: 0.1000')
('Episode: 241', 'Reward: 800.0', 'Loss: 40.6462440491', 'Explore P: 0.1000')
('Episode: 242', 'Reward: 2710.0', 'Loss: 36.8296966553', 'Explore P: 0.1000')
('Episode: 243', 'Reward: 540.0', 'Loss: 124.353042603', 'Explore P: 0.1000')
('Episode: 244', 'Reward: 420.0', 'Loss: 43.5898513794', 'Explore P: 0.1000')
('Episode: 245', 'Reward: 600.0', 'Loss: 37.6048431396', 'Explore P: 0.1000')
('Episode: 246', 'Reward: 720.0', 'Loss: 86.7967071533', 'Explore P: 0.1000')
('Episode: 247', 'Reward: 3310.0', 'Loss: 42.1047286987', 'Explore P: 0.1000')
('Episode: 248', 'Reward: 460.0', 'Loss: 34.7866973877', 'Explore P: 0.1000')
('Episode: 249', 'Reward: 2640.0', 'Loss: 27.7499237061', 'Explore P: 0.1000')
('Episode: 250', 'Reward: 2750.0', 'Loss: 32.7691917419', 'Explore P: 0.1000')
('Episode: 251', 'Reward: 1770.0', 'Loss: 32.4482040405', 'Explore P: 0.1000')
('Episode: 252', 'Reward: 1030.0', 'Loss: 81.1436920166', 'Explore P: 0.1000')
('Episode: 253', 'Reward: 2180.0', 'Loss: 42.3220214844', 'Explore P: 0.1000')
('Episode: 254', 'Reward: 2570.0', 'Loss: 27.7101573944', 'Explore P: 0.1000')
('Episode: 255', 'Reward: 1960.0', 'Loss: 54.7502746582', 'Explore P: 0.1000')
('Episode: 256', 'Reward: 760.0', 'Loss: 36.6567115784', 'Explore P: 0.1000')
('Episode: 257', 'Reward: 1950.0', 'Loss: 38.4234924316', 'Explore P: 0.1000')
('Episode: 258', 'Reward: 2060.0', 'Loss: 85.3592224121', 'Explore P: 0.1000')
('Episode: 259', 'Reward: 1900.0', 'Loss: 21.5882301331', 'Explore P: 0.1000')
('Episode: 260', 'Reward: 1810.0', 'Loss: 24.8006477356', 'Explore P: 0.1000')
('Episode: 261', 'Reward: 1650.0', 'Loss: 31.8810253143', 'Explore P: 0.1000')
('Episode: 262', 'Reward: 2320.0', 'Loss: 47.8765106201', 'Explore P: 0.1000')
